"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"skipped","Mon Mar 27 14:25:39 GMT 2023","Mon Mar 27 14:25:39 GMT 2023","0","","tests.DZ_other.OpenHabr","","tests.DZ_other.OpenHabr","photoSearchTest","photoSearchTest()",""
"passed","Mon Mar 27 14:22:42 GMT 2023","Mon Mar 27 14:22:45 GMT 2023","2616","","tests.DZ_10.FileParsingTest","","tests.DZ_10.FileParsingTest","zipPdfTest","zipPdfTest()",""
"passed","Mon Mar 27 14:24:05 GMT 2023","Mon Mar 27 14:24:35 GMT 2023","29532","","tests.DZ_12.RegistrationPageTest","","tests.DZ_12.RegistrationPageTest","successfulLoginTest","Проверка регистрации нового студента",""
"passed","Mon Mar 27 14:25:55 GMT 2023","Mon Mar 27 14:25:59 GMT 2023","4883","","tests.DZ_other.OpenSolutionsAndDragAndDropTest","","tests.DZ_other.OpenSolutionsAndDragAndDropTest","dragAndDropTestNoActions","dragAndDropTestNoActions()",""
"passed","Mon Mar 27 14:23:12 GMT 2023","Mon Mar 27 14:23:20 GMT 2023","8627","","tests.DZ_11.IssueTest","","tests.DZ_11.IssueTest","testIssueSearchLambda","Проверка Issue с помощью Lambda",""
"passed","Mon Mar 27 14:25:39 GMT 2023","Mon Mar 27 14:25:49 GMT 2023","10039","","tests.DZ_other.OpenSelenideSoftAssertionsJunitTest","","tests.DZ_other.OpenSelenideSoftAssertionsJunitTest","openSelenideSoftAssertionsJunitTest","openSelenideSoftAssertionsJunitTest()",""
"passed","Mon Mar 27 14:22:42 GMT 2023","Mon Mar 27 14:22:42 GMT 2023","492","","tests.DZ_10.FileParsingTest","","tests.DZ_10.FileParsingTest","zipXlsTest","zipXlsTest()",""
"passed","Mon Mar 27 14:23:20 GMT 2023","Mon Mar 27 14:23:27 GMT 2023","6201","","tests.DZ_11.IssueTest","","tests.DZ_11.IssueTest","testIssueSearchSteps","Проверка Issue с помощью Steps",""
"skipped","Mon Mar 27 14:25:39 GMT 2023","Mon Mar 27 14:25:39 GMT 2023","0","","tests.DZ_other.OpenHabr","","tests.DZ_other.OpenHabr","firstSearchResultsShouldContainExpectedText","firstSearchResultsShouldContainExpectedText(String, String)",""
"passed","Mon Mar 27 14:22:42 GMT 2023","Mon Mar 27 14:22:42 GMT 2023","31","","tests.DZ_10.FileParsingTest","","tests.DZ_10.FileParsingTest","zipAllTest","zipAllTest()",""
"failed","Mon Mar 27 14:22:45 GMT 2023","Mon Mar 27 14:23:12 GMT 2023","26304","","tests.DZ_11.IssueTest","","tests.DZ_11.IssueTest","testIssueSearchSelenide","Проверка Issue с помощью Selenide",""
"passed","Mon Mar 27 14:23:28 GMT 2023","Mon Mar 27 14:24:05 GMT 2023","37588","","tests.DZ_12.RegistrationPageTest","","tests.DZ_12.RegistrationPageTest","registrationFormTest","Проверка регистрации нового студента",""
"passed","Mon Mar 27 14:24:36 GMT 2023","Mon Mar 27 14:24:46 GMT 2023","9963","","tests.DZ_other.LoginTest","","tests.DZ_other.LoginTest","successfulLoginWithCommentsTest","Успешная авторизация с комментариями",""
"passed","Mon Mar 27 14:25:21 GMT 2023","Mon Mar 27 14:25:29 GMT 2023","8019","","tests.DZ_other.OpenGitHubPagesTest","","tests.DZ_other.OpenGitHubPagesTest","openGitHubPagesTest","openGitHubPagesTest(String, String) Открытие на гитхабе страниц SoftAssertions должен отображаться текст SoftAssertions",""
"passed","Mon Mar 27 14:22:45 GMT 2023","Mon Mar 27 14:22:45 GMT 2023","1","","tests.DZ_10.FileParsingTest","","tests.DZ_10.FileParsingTest","zipCsvTest","zipCsvTest()",""
