"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sun Mar 26 16:50:52 GMT 2023","Sun Mar 26 16:51:03 GMT 2023","10478","","tests.DZ_other.OpenGitHubPagesTest","","tests.DZ_other.OpenGitHubPagesTest","openGitHubPagesTest","openGitHubPagesTest(String, String) Открытие на гитхабе страниц Snippets должен отображаться текст Snippets",""
"passed","Sun Mar 26 16:48:14 GMT 2023","Sun Mar 26 16:48:14 GMT 2023","494","","tests.DZ_10.FileParsingTest","","tests.DZ_10.FileParsingTest","zipXlsTest","zipXlsTest()",""
"passed","Sun Mar 26 16:49:17 GMT 2023","Sun Mar 26 16:49:47 GMT 2023","30060","","tests.DZ_12.RegistrationPageTest","","tests.DZ_12.RegistrationPageTest","successfulLoginTest","Проверка регистрации нового студента",""
"passed","Sun Mar 26 16:48:17 GMT 2023","Sun Mar 26 16:48:32 GMT 2023","15084","","tests.DZ_11.IssueTest","","tests.DZ_11.IssueTest","testIssueSearchSelenide","Проверка Issue с помощью Selenide",""
"passed","Sun Mar 26 16:48:47 GMT 2023","Sun Mar 26 16:49:17 GMT 2023","29948","","tests.DZ_12.RegistrationPageTest","","tests.DZ_12.RegistrationPageTest","registrationFormTest","Проверка регистрации нового студента",""
"passed","Sun Mar 26 16:50:04 GMT 2023","Sun Mar 26 16:50:16 GMT 2023","12275","","tests.DZ_other.OpenGitHubPagesTest","","tests.DZ_other.OpenGitHubPagesTest","openGitHubPagesTest2","Открытие на гитхабе страниц {0} должен отображаться текст {0} [1] SoftAssertions",""
"skipped","Sun Mar 26 16:50:03 GMT 2023","Sun Mar 26 16:50:03 GMT 2023","0","","tests.DZ_other.LoginTest","","tests.DZ_other.LoginTest","successfulLoginTest","Успешная авторизация",""
"skipped","Sun Mar 26 16:51:15 GMT 2023","Sun Mar 26 16:51:15 GMT 2023","0","","tests.DZ_other.OpenSolutionsAndDragAndDropTest","","tests.DZ_other.OpenSolutionsAndDragAndDropTest","dragAndDropTestActions","Не работает медот Action.Selenide",""
"passed","Sun Mar 26 16:49:48 GMT 2023","Sun Mar 26 16:50:03 GMT 2023","14367","","tests.DZ_other.LoginTest","","tests.DZ_other.LoginTest","successfulLoginWithCommentsTest","Успешная авторизация с комментариями",""
"skipped","Sun Mar 26 16:51:04 GMT 2023","Sun Mar 26 16:51:04 GMT 2023","0","","tests.DZ_other.OpenHabr","","tests.DZ_other.OpenHabr","firstSearchResultsShouldContainExpectedText","firstSearchResultsShouldContainExpectedText(String, String)",""
