"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sat Apr 15 11:33:41 GMT 2023","Sat Apr 15 11:33:41 GMT 2023","8","","tests.DZ_10.FileParsingTest","","tests.DZ_10.FileParsingTest","zipCsvTest","zipCsvTest()",""
"skipped","Sat Apr 15 11:34:50 GMT 2023","Sat Apr 15 11:34:50 GMT 2023","0","","tests.DZ_other.LoginTest","","tests.DZ_other.LoginTest","successfulLoginTest","Успешная авторизация",""
"skipped","Sat Apr 15 11:35:26 GMT 2023","Sat Apr 15 11:35:26 GMT 2023","0","","tests.DZ_other.OpenHabr","","tests.DZ_other.OpenHabr","firstSearchResultsShouldContainExpectedText","firstSearchResultsShouldContainExpectedText(String, String)",""
"passed","Sat Apr 15 11:35:26 GMT 2023","Sat Apr 15 11:35:34 GMT 2023","8047","","tests.DZ_other.OpenSelenideSoftAssertionsJunitTest","","tests.DZ_other.OpenSelenideSoftAssertionsJunitTest","openSelenideSoftAssertionsJunitTest","openSelenideSoftAssertionsJunitTest()",""
"passed","Sat Apr 15 11:33:42 GMT 2023","Sat Apr 15 11:33:59 GMT 2023","17350","","tests.DZ_11.IssueTest","","tests.DZ_11.IssueTest","testIssueSearchSelenide","Проверка Issue с помощью Selenide",""
"skipped","Sat Apr 15 11:35:35 GMT 2023","Sat Apr 15 11:35:35 GMT 2023","0","","tests.DZ_other.OpenSolutionsAndDragAndDropTest","","tests.DZ_other.OpenSolutionsAndDragAndDropTest","dragAndDropTestActions","Не работает медот Action.Selenide",""
"passed","Sat Apr 15 11:34:30 GMT 2023","Sat Apr 15 11:34:49 GMT 2023","18925","","tests.DZ_12.RegistrationPageTest","","tests.DZ_12.RegistrationPageTest","successfulLoginTest","Проверка регистрации нового студента",""
"skipped","Sat Apr 15 11:35:26 GMT 2023","Sat Apr 15 11:35:26 GMT 2023","0","","tests.DZ_other.OpenHabr","","tests.DZ_other.OpenHabr","photoSearchTest","photoSearchTest()",""
"passed","Sat Apr 15 11:35:20 GMT 2023","Sat Apr 15 11:35:25 GMT 2023","5804","","tests.DZ_other.OpenGitHubPagesTest","","tests.DZ_other.OpenGitHubPagesTest","openGitHubPagesTest","openGitHubPagesTest(String, String) Открытие на гитхабе страниц Snippets должен отображаться текст Snippets",""
"passed","Sat Apr 15 11:34:03 GMT 2023","Sat Apr 15 11:34:08 GMT 2023","4926","","tests.DZ_11.IssueTest","","tests.DZ_11.IssueTest","testIssueSearchSteps","Проверка Issue с помощью Steps",""
"skipped","Sat Apr 15 11:35:26 GMT 2023","Sat Apr 15 11:35:26 GMT 2023","0","","tests.DZ_other.OpenHabr","","tests.DZ_other.OpenHabr","searchResultsShouldBeGreaterThan10","searchResultsShouldBeGreaterThan10(String)",""
"passed","Sat Apr 15 11:33:39 GMT 2023","Sat Apr 15 11:33:41 GMT 2023","2374","","tests.DZ_10.FileParsingTest","","tests.DZ_10.FileParsingTest","zipPdfTest","zipPdfTest()",""
"passed","Sat Apr 15 11:35:43 GMT 2023","Sat Apr 15 11:35:59 GMT 2023","15818","","tests.DZ_other.RegistrationPageObjectTest","","tests.DZ_other.RegistrationPageObjectTest","successfulLoginTest","Регистрация",""
"skipped","Sat Apr 15 11:34:50 GMT 2023","Sat Apr 15 11:34:50 GMT 2023","0","","tests.DZ_other.LoginTest","","tests.DZ_other.LoginTest","successfulLoginWithCommentsTest","Успешная авторизация с комментариями",""
"passed","Sat Apr 15 11:33:38 GMT 2023","Sat Apr 15 11:33:39 GMT 2023","526","","tests.DZ_10.FileParsingTest","","tests.DZ_10.FileParsingTest","zipXlsTest","zipXlsTest()",""
