"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Mon Apr 17 13:20:04 GMT 2023","Mon Apr 17 13:20:08 GMT 2023","4406","","tests.DZ_11.IssueTest","","tests.DZ_11.IssueTest","testIssueSearchSteps","Проверка Issue с помощью Steps",""
"passed","Mon Apr 17 13:20:57 GMT 2023","Mon Apr 17 13:20:57 GMT 2023","1","","tests.DZ_other.LoginTest","","tests.DZ_other.LoginTest","exitTest","exitTest()",""
"passed","Mon Apr 17 13:21:29 GMT 2023","Mon Apr 17 13:21:35 GMT 2023","5917","","tests.DZ_other.OpenGitHubPagesTest","","tests.DZ_other.OpenGitHubPagesTest","openGitHubPagesTest","openGitHubPagesTest(String, String) Открытие на гитхабе страниц Snippets должен отображаться текст Snippets",""
"skipped","Mon Apr 17 13:21:35 GMT 2023","Mon Apr 17 13:21:35 GMT 2023","0","","tests.DZ_other.OpenHabr","","tests.DZ_other.OpenHabr","photoSearchTest","photoSearchTest()",""
"skipped","Mon Apr 17 13:21:35 GMT 2023","Mon Apr 17 13:21:35 GMT 2023","0","","tests.DZ_other.OpenHabr","","tests.DZ_other.OpenHabr","firstSearchResultsShouldContainExpectedText","firstSearchResultsShouldContainExpectedText(String, String)",""
"passed","Mon Apr 17 13:19:27 GMT 2023","Mon Apr 17 13:19:27 GMT 2023","134","","tests.DZ_10.JsonEventTest","","tests.DZ_10.JsonEventTest","testJsonParsing","testJsonParsing()",""
"passed","Mon Apr 17 13:20:58 GMT 2023","Mon Apr 17 13:21:05 GMT 2023","7380","","tests.DZ_other.OpenGitHubPagesTest","","tests.DZ_other.OpenGitHubPagesTest","openGitHubPagesTest2","Открытие на гитхабе страниц {0} должен отображаться текст {0} [1] SoftAssertions",""
"passed","Mon Apr 17 13:21:11 GMT 2023","Mon Apr 17 13:21:16 GMT 2023","5178","","tests.DZ_other.OpenGitHubPagesTest","","tests.DZ_other.OpenGitHubPagesTest","openGitHubPagesTest3","openGitHubPagesTest3(String) Открытие на гитхабе страниц SoftAssertions должен отображаться текст SoftAssertions",""
"passed","Mon Apr 17 13:21:05 GMT 2023","Mon Apr 17 13:21:11 GMT 2023","5680","","tests.DZ_other.OpenGitHubPagesTest","","tests.DZ_other.OpenGitHubPagesTest","openGitHubPagesTest2","Открытие на гитхабе страниц {0} должен отображаться текст {0} [2] Snippets",""
"passed","Mon Apr 17 13:19:57 GMT 2023","Mon Apr 17 13:20:04 GMT 2023","6665","","tests.DZ_11.IssueTest","","tests.DZ_11.IssueTest","testIssueSearchLambda","Проверка Issue с помощью Lambda",""
"passed","Mon Apr 17 13:20:10 GMT 2023","Mon Apr 17 13:20:33 GMT 2023","22958","","tests.DZ_12.RegistrationPageTest","","tests.DZ_12.RegistrationPageTest","registrationFormTest","Проверка регистрации нового студента",""
"passed","Mon Apr 17 13:19:27 GMT 2023","Mon Apr 17 13:19:57 GMT 2023","30411","","tests.DZ_11.IssueTest","","tests.DZ_11.IssueTest","testIssueSearchSelenide","Проверка Issue с помощью Selenide",""
"passed","Mon Apr 17 13:19:24 GMT 2023","Mon Apr 17 13:19:26 GMT 2023","2615","","tests.DZ_10.FileParsingTest","","tests.DZ_10.FileParsingTest","zipPdfTest","zipPdfTest()",""
"skipped","Mon Apr 17 13:21:35 GMT 2023","Mon Apr 17 13:21:35 GMT 2023","0","","tests.DZ_other.OpenHabr","","tests.DZ_other.OpenHabr","searchResultsShouldBeGreaterThan10","searchResultsShouldBeGreaterThan10(String)",""
"passed","Mon Apr 17 13:21:44 GMT 2023","Mon Apr 17 13:21:47 GMT 2023","3010","","tests.DZ_other.OpenSolutionsAndDragAndDropTest","","tests.DZ_other.OpenSolutionsAndDragAndDropTest","openSolutions","openSolutions()",""
"passed","Mon Apr 17 13:21:16 GMT 2023","Mon Apr 17 13:21:23 GMT 2023","7092","","tests.DZ_other.OpenGitHubPagesTest","","tests.DZ_other.OpenGitHubPagesTest","openGitHubPagesTest3","openGitHubPagesTest3(String) Открытие на гитхабе страниц Snippets должен отображаться текст Snippets",""
"passed","Mon Apr 17 13:19:26 GMT 2023","Mon Apr 17 13:19:26 GMT 2023","2","","tests.DZ_10.FileParsingTest","","tests.DZ_10.FileParsingTest","zipCsvTest","zipCsvTest()",""
"passed","Mon Apr 17 13:21:23 GMT 2023","Mon Apr 17 13:21:29 GMT 2023","5663","","tests.DZ_other.OpenGitHubPagesTest","","tests.DZ_other.OpenGitHubPagesTest","openGitHubPagesTest","openGitHubPagesTest(String, String) Открытие на гитхабе страниц SoftAssertions должен отображаться текст SoftAssertions",""
"skipped","Mon Apr 17 13:21:44 GMT 2023","Mon Apr 17 13:21:44 GMT 2023","0","","tests.DZ_other.OpenSolutionsAndDragAndDropTest","","tests.DZ_other.OpenSolutionsAndDragAndDropTest","dragAndDropTestActions","Не работает медот Action.Selenide",""
"passed","Mon Apr 17 13:20:33 GMT 2023","Mon Apr 17 13:20:56 GMT 2023","23632","","tests.DZ_12.RegistrationPageTest","","tests.DZ_12.RegistrationPageTest","successfulLoginTest","Проверка регистрации нового студента",""
"passed","Mon Apr 17 13:21:51 GMT 2023","Mon Apr 17 13:22:07 GMT 2023","15815","","tests.DZ_other.RegistrationPageObjectTest","","tests.DZ_other.RegistrationPageObjectTest","successfulLoginTest","Регистрация",""
"passed","Mon Apr 17 13:21:47 GMT 2023","Mon Apr 17 13:21:50 GMT 2023","3418","","tests.DZ_other.OpenSolutionsAndDragAndDropTest","","tests.DZ_other.OpenSolutionsAndDragAndDropTest","dragAndDropTestNoActions","dragAndDropTestNoActions()",""
"passed","Mon Apr 17 13:21:35 GMT 2023","Mon Apr 17 13:21:43 GMT 2023","7440","","tests.DZ_other.OpenSelenideSoftAssertionsJunitTest","","tests.DZ_other.OpenSelenideSoftAssertionsJunitTest","openSelenideSoftAssertionsJunitTest","openSelenideSoftAssertionsJunitTest()",""
"skipped","Mon Apr 17 13:20:57 GMT 2023","Mon Apr 17 13:20:57 GMT 2023","0","","tests.DZ_other.LoginTest","","tests.DZ_other.LoginTest","successfulLoginWithCommentsTest","Успешная авторизация с комментариями",""
"skipped","Mon Apr 17 13:20:57 GMT 2023","Mon Apr 17 13:20:57 GMT 2023","0","","tests.DZ_other.LoginTest","","tests.DZ_other.LoginTest","successfulLoginTest","Успешная авторизация",""
