"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sun Mar 26 16:33:57 GMT 2023","Sun Mar 26 16:34:01 GMT 2023","3694","","tests.DZ_11.IssueTest","","tests.DZ_11.IssueTest","testIssueSearchSteps","Проверка Issue с помощью Steps",""
"passed","Sun Mar 26 16:35:20 GMT 2023","Sun Mar 26 16:35:26 GMT 2023","5671","","tests.DZ_other.OpenGitHubPagesTest","","tests.DZ_other.OpenGitHubPagesTest","openGitHubPagesTest","openGitHubPagesTest(String, String) Открытие на гитхабе страниц Snippets должен отображаться текст Snippets",""
"skipped","Sun Mar 26 16:35:27 GMT 2023","Sun Mar 26 16:35:27 GMT 2023","0","","tests.DZ_other.OpenHabr","","tests.DZ_other.OpenHabr","photoSearchTest","photoSearchTest()",""
"passed","Sun Mar 26 16:35:04 GMT 2023","Sun Mar 26 16:35:09 GMT 2023","5313","","tests.DZ_other.OpenGitHubPagesTest","","tests.DZ_other.OpenGitHubPagesTest","openGitHubPagesTest3","openGitHubPagesTest3(String) Открытие на гитхабе страниц SoftAssertions должен отображаться текст SoftAssertions",""
"passed","Sun Mar 26 16:33:36 GMT 2023","Sun Mar 26 16:33:36 GMT 2023","44","","tests.DZ_10.FileParsingTest","","tests.DZ_10.FileParsingTest","zipAllTest","zipAllTest()",""
"passed","Sun Mar 26 16:33:38 GMT 2023","Sun Mar 26 16:33:38 GMT 2023","2","","tests.DZ_10.FileParsingTest","","tests.DZ_10.FileParsingTest","zipCsvTest","zipCsvTest()",""
"passed","Sun Mar 26 16:34:23 GMT 2023","Sun Mar 26 16:34:43 GMT 2023","19754","","tests.DZ_12.RegistrationPageTest","","tests.DZ_12.RegistrationPageTest","successfulLoginTest","Проверка регистрации нового студента",""
"passed","Sun Mar 26 16:34:58 GMT 2023","Sun Mar 26 16:35:04 GMT 2023","5844","","tests.DZ_other.OpenGitHubPagesTest","","tests.DZ_other.OpenGitHubPagesTest","openGitHubPagesTest2","Открытие на гитхабе страниц {0} должен отображаться текст {0} [2] Snippets",""
"passed","Sun Mar 26 16:33:53 GMT 2023","Sun Mar 26 16:33:57 GMT 2023","4206","","tests.DZ_11.IssueTest","","tests.DZ_11.IssueTest","testIssueSearchLambda","Проверка Issue с помощью Lambda",""
"passed","Sun Mar 26 16:34:44 GMT 2023","Sun Mar 26 16:34:50 GMT 2023","6305","","tests.DZ_other.LoginTest","","tests.DZ_other.LoginTest","successfulLoginWithCommentsTest","Успешная авторизация с комментариями",""
"passed","Sun Mar 26 16:35:09 GMT 2023","Sun Mar 26 16:35:15 GMT 2023","5433","","tests.DZ_other.OpenGitHubPagesTest","","tests.DZ_other.OpenGitHubPagesTest","openGitHubPagesTest3","openGitHubPagesTest3(String) Открытие на гитхабе страниц Snippets должен отображаться текст Snippets",""
"skipped","Sun Mar 26 16:34:50 GMT 2023","Sun Mar 26 16:34:50 GMT 2023","0","","tests.DZ_other.LoginTest","","tests.DZ_other.LoginTest","successfulLoginTest","Успешная авторизация",""
"skipped","Sun Mar 26 16:35:35 GMT 2023","Sun Mar 26 16:35:35 GMT 2023","0","","tests.DZ_other.OpenSolutionsAndDragAndDropTest","","tests.DZ_other.OpenSolutionsAndDragAndDropTest","dragAndDropTestActions","Не работает медот Action.Selenide",""
"passed","Sun Mar 26 16:35:42 GMT 2023","Sun Mar 26 16:35:59 GMT 2023","16206","","tests.DZ_other.RegistrationPageObjectTest","","tests.DZ_other.RegistrationPageObjectTest","successfulLoginTest","Регистрация",""
"passed","Sun Mar 26 16:33:39 GMT 2023","Sun Mar 26 16:33:39 GMT 2023","98","","tests.DZ_10.JsonEventTest","","tests.DZ_10.JsonEventTest","testJsonParsing","testJsonParsing()",""
"passed","Sun Mar 26 16:33:36 GMT 2023","Sun Mar 26 16:33:38 GMT 2023","2588","","tests.DZ_10.FileParsingTest","","tests.DZ_10.FileParsingTest","zipPdfTest","zipPdfTest()",""
"passed","Sun Mar 26 16:35:35 GMT 2023","Sun Mar 26 16:35:39 GMT 2023","3080","","tests.DZ_other.OpenSolutionsAndDragAndDropTest","","tests.DZ_other.OpenSolutionsAndDragAndDropTest","openSolutions","openSolutions()",""
"passed","Sun Mar 26 16:35:39 GMT 2023","Sun Mar 26 16:35:42 GMT 2023","3420","","tests.DZ_other.OpenSolutionsAndDragAndDropTest","","tests.DZ_other.OpenSolutionsAndDragAndDropTest","dragAndDropTestNoActions","dragAndDropTestNoActions()",""
"skipped","Sun Mar 26 16:35:27 GMT 2023","Sun Mar 26 16:35:27 GMT 2023","0","","tests.DZ_other.OpenHabr","","tests.DZ_other.OpenHabr","firstSearchResultsShouldContainExpectedText","firstSearchResultsShouldContainExpectedText(String, String)",""
"passed","Sun Mar 26 16:33:35 GMT 2023","Sun Mar 26 16:33:36 GMT 2023","518","","tests.DZ_10.FileParsingTest","","tests.DZ_10.FileParsingTest","zipXlsTest","zipXlsTest()",""
"passed","Sun Mar 26 16:35:15 GMT 2023","Sun Mar 26 16:35:20 GMT 2023","5616","","tests.DZ_other.OpenGitHubPagesTest","","tests.DZ_other.OpenGitHubPagesTest","openGitHubPagesTest","openGitHubPagesTest(String, String) Открытие на гитхабе страниц SoftAssertions должен отображаться текст SoftAssertions",""
"passed","Sun Mar 26 16:33:39 GMT 2023","Sun Mar 26 16:33:53 GMT 2023","14320","","tests.DZ_11.IssueTest","","tests.DZ_11.IssueTest","testIssueSearchSelenide","Проверка Issue с помощью Selenide",""
"skipped","Sun Mar 26 16:35:27 GMT 2023","Sun Mar 26 16:35:27 GMT 2023","0","","tests.DZ_other.OpenHabr","","tests.DZ_other.OpenHabr","searchResultsShouldBeGreaterThan10","searchResultsShouldBeGreaterThan10(String)",""
"passed","Sun Mar 26 16:34:51 GMT 2023","Sun Mar 26 16:34:58 GMT 2023","7233","","tests.DZ_other.OpenGitHubPagesTest","","tests.DZ_other.OpenGitHubPagesTest","openGitHubPagesTest2","Открытие на гитхабе страниц {0} должен отображаться текст {0} [1] SoftAssertions",""
"passed","Sun Mar 26 16:35:27 GMT 2023","Sun Mar 26 16:35:35 GMT 2023","7601","","tests.DZ_other.OpenSelenideSoftAssertionsJunitTest","","tests.DZ_other.OpenSelenideSoftAssertionsJunitTest","openSelenideSoftAssertionsJunitTest","openSelenideSoftAssertionsJunitTest()",""
"passed","Sun Mar 26 16:34:02 GMT 2023","Sun Mar 26 16:34:23 GMT 2023","20994","","tests.DZ_12.RegistrationPageTest","","tests.DZ_12.RegistrationPageTest","registrationFormTest","Проверка регистрации нового студента",""
