"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sun Apr 02 12:15:32 GMT 2023","Sun Apr 02 12:15:40 GMT 2023","7480","","tests.DZ_other.OpenGitHubPagesTest","","tests.DZ_other.OpenGitHubPagesTest","openGitHubPagesTest2","Открытие на гитхабе страниц {0} должен отображаться текст {0} [2] Snippets",""
"passed","Sun Apr 02 12:15:11 GMT 2023","Sun Apr 02 12:15:21 GMT 2023","9533","","tests.DZ_other.LoginTest","","tests.DZ_other.LoginTest","successfulLoginWithCommentsTest","Успешная авторизация с комментариями",""
"passed","Sun Apr 02 12:15:40 GMT 2023","Sun Apr 02 12:15:48 GMT 2023","8658","","tests.DZ_other.OpenGitHubPagesTest","","tests.DZ_other.OpenGitHubPagesTest","openGitHubPagesTest3","openGitHubPagesTest3(String) Открытие на гитхабе страниц SoftAssertions должен отображаться текст SoftAssertions",""
"passed","Sun Apr 02 12:16:05 GMT 2023","Sun Apr 02 12:16:14 GMT 2023","8798","","tests.DZ_other.OpenGitHubPagesTest","","tests.DZ_other.OpenGitHubPagesTest","openGitHubPagesTest","openGitHubPagesTest(String, String) Открытие на гитхабе страниц Snippets должен отображаться текст Snippets",""
"passed","Sun Apr 02 12:15:57 GMT 2023","Sun Apr 02 12:16:05 GMT 2023","7256","","tests.DZ_other.OpenGitHubPagesTest","","tests.DZ_other.OpenGitHubPagesTest","openGitHubPagesTest","openGitHubPagesTest(String, String) Открытие на гитхабе страниц SoftAssertions должен отображаться текст SoftAssertions",""
"passed","Sun Apr 02 12:15:48 GMT 2023","Sun Apr 02 12:15:57 GMT 2023","9110","","tests.DZ_other.OpenGitHubPagesTest","","tests.DZ_other.OpenGitHubPagesTest","openGitHubPagesTest3","openGitHubPagesTest3(String) Открытие на гитхабе страниц Snippets должен отображаться текст Snippets",""
"passed","Sun Apr 02 12:15:22 GMT 2023","Sun Apr 02 12:15:32 GMT 2023","10574","","tests.DZ_other.OpenGitHubPagesTest","","tests.DZ_other.OpenGitHubPagesTest","openGitHubPagesTest2","Открытие на гитхабе страниц {0} должен отображаться текст {0} [1] SoftAssertions",""
"passed","Sun Apr 02 12:16:36 GMT 2023","Sun Apr 02 12:16:54 GMT 2023","17728","","tests.DZ_other.RegistrationPageObjectTest","","tests.DZ_other.RegistrationPageObjectTest","successfulLoginTest","Регистрация",""
"passed","Sun Apr 02 12:14:29 GMT 2023","Sun Apr 02 12:14:50 GMT 2023","21490","","tests.DZ_12.RegistrationPageTest","","tests.DZ_12.RegistrationPageTest","registrationFormTest","Проверка регистрации нового студента",""
"passed","Sun Apr 02 12:16:31 GMT 2023","Sun Apr 02 12:16:36 GMT 2023","4348","","tests.DZ_other.OpenSolutionsAndDragAndDropTest","","tests.DZ_other.OpenSolutionsAndDragAndDropTest","dragAndDropTestNoActions","dragAndDropTestNoActions()",""
"skipped","Sun Apr 02 12:16:14 GMT 2023","Sun Apr 02 12:16:14 GMT 2023","0","","tests.DZ_other.OpenHabr","","tests.DZ_other.OpenHabr","searchResultsShouldBeGreaterThan10","searchResultsShouldBeGreaterThan10(String)",""
"passed","Sun Apr 02 12:13:42 GMT 2023","Sun Apr 02 12:14:15 GMT 2023","33177","","tests.DZ_11.IssueTest","","tests.DZ_11.IssueTest","testIssueSearchSelenide","Проверка Issue с помощью Selenide",""
"passed","Sun Apr 02 12:16:14 GMT 2023","Sun Apr 02 12:16:22 GMT 2023","7574","","tests.DZ_other.OpenSelenideSoftAssertionsJunitTest","","tests.DZ_other.OpenSelenideSoftAssertionsJunitTest","openSelenideSoftAssertionsJunitTest","openSelenideSoftAssertionsJunitTest()",""
"passed","Sun Apr 02 12:13:41 GMT 2023","Sun Apr 02 12:13:41 GMT 2023","15","","tests.DZ_10.FileParsingTest","","tests.DZ_10.FileParsingTest","zipCsvTest","zipCsvTest()",""
"passed","Sun Apr 02 12:14:15 GMT 2023","Sun Apr 02 12:14:22 GMT 2023","7066","","tests.DZ_11.IssueTest","","tests.DZ_11.IssueTest","testIssueSearchLambda","Проверка Issue с помощью Lambda",""
"passed","Sun Apr 02 12:14:50 GMT 2023","Sun Apr 02 12:15:11 GMT 2023","20564","","tests.DZ_12.RegistrationPageTest","","tests.DZ_12.RegistrationPageTest","successfulLoginTest","Проверка регистрации нового студента",""
"skipped","Sun Apr 02 12:16:14 GMT 2023","Sun Apr 02 12:16:14 GMT 2023","0","","tests.DZ_other.OpenHabr","","tests.DZ_other.OpenHabr","photoSearchTest","photoSearchTest()",""
"passed","Sun Apr 02 12:13:39 GMT 2023","Sun Apr 02 12:13:39 GMT 2023","24","","tests.DZ_10.FileParsingTest","","tests.DZ_10.FileParsingTest","zipAllTest","zipAllTest()",""
"skipped","Sun Apr 02 12:16:24 GMT 2023","Sun Apr 02 12:16:24 GMT 2023","0","","tests.DZ_other.OpenSolutionsAndDragAndDropTest","","tests.DZ_other.OpenSolutionsAndDragAndDropTest","dragAndDropTestActions","Не работает медот Action.Selenide",""
"skipped","Sun Apr 02 12:16:14 GMT 2023","Sun Apr 02 12:16:14 GMT 2023","0","","tests.DZ_other.OpenHabr","","tests.DZ_other.OpenHabr","firstSearchResultsShouldContainExpectedText","firstSearchResultsShouldContainExpectedText(String, String)",""
"passed","Sun Apr 02 12:14:22 GMT 2023","Sun Apr 02 12:14:28 GMT 2023","5802","","tests.DZ_11.IssueTest","","tests.DZ_11.IssueTest","testIssueSearchSteps","Проверка Issue с помощью Steps",""
"passed","Sun Apr 02 12:16:24 GMT 2023","Sun Apr 02 12:16:31 GMT 2023","7185","","tests.DZ_other.OpenSolutionsAndDragAndDropTest","","tests.DZ_other.OpenSolutionsAndDragAndDropTest","openSolutions","openSolutions()",""
"skipped","Sun Apr 02 12:15:21 GMT 2023","Sun Apr 02 12:15:21 GMT 2023","0","","tests.DZ_other.LoginTest","","tests.DZ_other.LoginTest","successfulLoginTest","Успешная авторизация",""
"passed","Sun Apr 02 12:13:38 GMT 2023","Sun Apr 02 12:13:39 GMT 2023","486","","tests.DZ_10.FileParsingTest","","tests.DZ_10.FileParsingTest","zipXlsTest","zipXlsTest()",""
"passed","Sun Apr 02 12:13:42 GMT 2023","Sun Apr 02 12:13:42 GMT 2023","94","","tests.DZ_10.JsonEventTest","","tests.DZ_10.JsonEventTest","testJsonParsing","testJsonParsing()",""
"passed","Sun Apr 02 12:13:39 GMT 2023","Sun Apr 02 12:13:41 GMT 2023","2580","","tests.DZ_10.FileParsingTest","","tests.DZ_10.FileParsingTest","zipPdfTest","zipPdfTest()",""
