"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Mon Mar 27 14:22:10 GMT 2023","Mon Mar 27 14:22:11 GMT 2023","487","","tests.DZ_10.FileParsingTest","","tests.DZ_10.FileParsingTest","zipXlsTest","zipXlsTest()",""
"passed","Mon Mar 27 14:22:14 GMT 2023","Mon Mar 27 14:22:14 GMT 2023","1","","tests.DZ_10.FileParsingTest","","tests.DZ_10.FileParsingTest","zipCsvTest","zipCsvTest()",""
"passed","Mon Mar 27 14:24:32 GMT 2023","Mon Mar 27 14:24:35 GMT 2023","3402","","tests.DZ_other.OpenSolutionsAndDragAndDropTest","","tests.DZ_other.OpenSolutionsAndDragAndDropTest","dragAndDropTestNoActions","dragAndDropTestNoActions()",""
"passed","Mon Mar 27 14:24:28 GMT 2023","Mon Mar 27 14:24:32 GMT 2023","3227","","tests.DZ_other.OpenSolutionsAndDragAndDropTest","","tests.DZ_other.OpenSolutionsAndDragAndDropTest","openSolutions","openSolutions()",""
"passed","Mon Mar 27 14:22:29 GMT 2023","Mon Mar 27 14:22:33 GMT 2023","4087","","tests.DZ_11.IssueTest","","tests.DZ_11.IssueTest","testIssueSearchLambda","Проверка Issue с помощью Lambda",""
"passed","Mon Mar 27 14:22:11 GMT 2023","Mon Mar 27 14:22:14 GMT 2023","2774","","tests.DZ_10.FileParsingTest","","tests.DZ_10.FileParsingTest","zipPdfTest","zipPdfTest()",""
"passed","Mon Mar 27 14:23:44 GMT 2023","Mon Mar 27 14:23:50 GMT 2023","6298","","tests.DZ_other.OpenGitHubPagesTest","","tests.DZ_other.OpenGitHubPagesTest","openGitHubPagesTest2","Открытие на гитхабе страниц {0} должен отображаться текст {0} [2] Snippets",""
"skipped","Mon Mar 27 14:24:20 GMT 2023","Mon Mar 27 14:24:20 GMT 2023","0","","tests.DZ_other.OpenHabr","","tests.DZ_other.OpenHabr","photoSearchTest","photoSearchTest()",""
"skipped","Mon Mar 27 14:23:35 GMT 2023","Mon Mar 27 14:23:35 GMT 2023","0","","tests.DZ_other.LoginTest","","tests.DZ_other.LoginTest","successfulLoginTest","Успешная авторизация",""
"passed","Mon Mar 27 14:23:50 GMT 2023","Mon Mar 27 14:24:01 GMT 2023","10746","","tests.DZ_other.OpenGitHubPagesTest","","tests.DZ_other.OpenGitHubPagesTest","openGitHubPagesTest3","openGitHubPagesTest3(String) Открытие на гитхабе страниц SoftAssertions должен отображаться текст SoftAssertions",""
"passed","Mon Mar 27 14:24:07 GMT 2023","Mon Mar 27 14:24:13 GMT 2023","5731","","tests.DZ_other.OpenGitHubPagesTest","","tests.DZ_other.OpenGitHubPagesTest","openGitHubPagesTest","openGitHubPagesTest(String, String) Открытие на гитхабе страниц SoftAssertions должен отображаться текст SoftAssertions",""
"passed","Mon Mar 27 14:22:33 GMT 2023","Mon Mar 27 14:22:38 GMT 2023","4558","","tests.DZ_11.IssueTest","","tests.DZ_11.IssueTest","testIssueSearchSteps","Проверка Issue с помощью Steps",""
"skipped","Mon Mar 27 14:24:20 GMT 2023","Mon Mar 27 14:24:20 GMT 2023","0","","tests.DZ_other.OpenHabr","","tests.DZ_other.OpenHabr","firstSearchResultsShouldContainExpectedText","firstSearchResultsShouldContainExpectedText(String, String)",""
"passed","Mon Mar 27 14:22:14 GMT 2023","Mon Mar 27 14:22:14 GMT 2023","107","","tests.DZ_10.JsonEventTest","","tests.DZ_10.JsonEventTest","testJsonParsing","testJsonParsing()",""
"passed","Mon Mar 27 14:22:11 GMT 2023","Mon Mar 27 14:22:11 GMT 2023","24","","tests.DZ_10.FileParsingTest","","tests.DZ_10.FileParsingTest","zipAllTest","zipAllTest()",""
"passed","Mon Mar 27 14:23:22 GMT 2023","Mon Mar 27 14:23:35 GMT 2023","12309","","tests.DZ_other.LoginTest","","tests.DZ_other.LoginTest","successfulLoginWithCommentsTest","Успешная авторизация с комментариями",""
"skipped","Mon Mar 27 14:24:20 GMT 2023","Mon Mar 27 14:24:20 GMT 2023","0","","tests.DZ_other.OpenHabr","","tests.DZ_other.OpenHabr","searchResultsShouldBeGreaterThan10","searchResultsShouldBeGreaterThan10(String)",""
"passed","Mon Mar 27 14:24:13 GMT 2023","Mon Mar 27 14:24:19 GMT 2023","6249","","tests.DZ_other.OpenGitHubPagesTest","","tests.DZ_other.OpenGitHubPagesTest","openGitHubPagesTest","openGitHubPagesTest(String, String) Открытие на гитхабе страниц Snippets должен отображаться текст Snippets",""
"passed","Mon Mar 27 14:24:20 GMT 2023","Mon Mar 27 14:24:27 GMT 2023","7256","","tests.DZ_other.OpenSelenideSoftAssertionsJunitTest","","tests.DZ_other.OpenSelenideSoftAssertionsJunitTest","openSelenideSoftAssertionsJunitTest","openSelenideSoftAssertionsJunitTest()",""
"passed","Mon Mar 27 14:22:14 GMT 2023","Mon Mar 27 14:22:29 GMT 2023","14842","","tests.DZ_11.IssueTest","","tests.DZ_11.IssueTest","testIssueSearchSelenide","Проверка Issue с помощью Selenide",""
"skipped","Mon Mar 27 14:24:28 GMT 2023","Mon Mar 27 14:24:28 GMT 2023","0","","tests.DZ_other.OpenSolutionsAndDragAndDropTest","","tests.DZ_other.OpenSolutionsAndDragAndDropTest","dragAndDropTestActions","Не работает медот Action.Selenide",""
"passed","Mon Mar 27 14:22:39 GMT 2023","Mon Mar 27 14:23:01 GMT 2023","22109","","tests.DZ_12.RegistrationPageTest","","tests.DZ_12.RegistrationPageTest","registrationFormTest","Проверка регистрации нового студента",""
"passed","Mon Mar 27 14:23:35 GMT 2023","Mon Mar 27 14:23:44 GMT 2023","8787","","tests.DZ_other.OpenGitHubPagesTest","","tests.DZ_other.OpenGitHubPagesTest","openGitHubPagesTest2","Открытие на гитхабе страниц {0} должен отображаться текст {0} [1] SoftAssertions",""
"passed","Mon Mar 27 14:23:01 GMT 2023","Mon Mar 27 14:23:22 GMT 2023","20898","","tests.DZ_12.RegistrationPageTest","","tests.DZ_12.RegistrationPageTest","successfulLoginTest","Проверка регистрации нового студента",""
"passed","Mon Mar 27 14:24:01 GMT 2023","Mon Mar 27 14:24:07 GMT 2023","6164","","tests.DZ_other.OpenGitHubPagesTest","","tests.DZ_other.OpenGitHubPagesTest","openGitHubPagesTest3","openGitHubPagesTest3(String) Открытие на гитхабе страниц Snippets должен отображаться текст Snippets",""
"passed","Mon Mar 27 14:24:36 GMT 2023","Mon Mar 27 14:24:51 GMT 2023","15968","","tests.DZ_other.RegistrationPageObjectTest","","tests.DZ_other.RegistrationPageObjectTest","successfulLoginTest","Регистрация",""
