"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sun Mar 26 16:36:20 GMT 2023","Sun Mar 26 16:36:27 GMT 2023","7302","","tests.DZ_other.OpenGitHubPagesTest","","tests.DZ_other.OpenGitHubPagesTest","openGitHubPagesTest","openGitHubPagesTest(String, String) Открытие на гитхабе страниц SoftAssertions должен отображаться текст SoftAssertions",""
"passed","Sun Mar 26 16:35:41 GMT 2023","Sun Mar 26 16:35:48 GMT 2023","7276","","tests.DZ_other.LoginTest","","tests.DZ_other.LoginTest","successfulLoginWithCommentsTest","Успешная авторизация с комментариями",""
"passed","Sun Mar 26 16:34:13 GMT 2023","Sun Mar 26 16:34:13 GMT 2023","33","","tests.DZ_10.FileParsingTest","","tests.DZ_10.FileParsingTest","zipAllTest","zipAllTest()",""
"skipped","Sun Mar 26 16:36:36 GMT 2023","Sun Mar 26 16:36:36 GMT 2023","0","","tests.DZ_other.OpenHabr","","tests.DZ_other.OpenHabr","firstSearchResultsShouldContainExpectedText","firstSearchResultsShouldContainExpectedText(String, String)",""
"passed","Sun Mar 26 16:34:17 GMT 2023","Sun Mar 26 16:34:39 GMT 2023","21292","","tests.DZ_11.IssueTest","","tests.DZ_11.IssueTest","testIssueSearchSelenide","Проверка Issue с помощью Selenide",""
"skipped","Sun Mar 26 16:36:36 GMT 2023","Sun Mar 26 16:36:36 GMT 2023","0","","tests.DZ_other.OpenHabr","","tests.DZ_other.OpenHabr","searchResultsShouldBeGreaterThan10","searchResultsShouldBeGreaterThan10(String)",""
"passed","Sun Mar 26 16:36:49 GMT 2023","Sun Mar 26 16:36:53 GMT 2023","4061","","tests.DZ_other.OpenSolutionsAndDragAndDropTest","","tests.DZ_other.OpenSolutionsAndDragAndDropTest","dragAndDropTestNoActions","dragAndDropTestNoActions()",""
"passed","Sun Mar 26 16:34:13 GMT 2023","Sun Mar 26 16:34:17 GMT 2023","3223","","tests.DZ_10.FileParsingTest","","tests.DZ_10.FileParsingTest","zipPdfTest","zipPdfTest()",""
"passed","Sun Mar 26 16:36:46 GMT 2023","Sun Mar 26 16:36:49 GMT 2023","3475","","tests.DZ_other.OpenSolutionsAndDragAndDropTest","","tests.DZ_other.OpenSolutionsAndDragAndDropTest","openSolutions","openSolutions()",""
"passed","Sun Mar 26 16:34:13 GMT 2023","Sun Mar 26 16:34:13 GMT 2023","683","","tests.DZ_10.FileParsingTest","","tests.DZ_10.FileParsingTest","zipXlsTest","zipXlsTest()",""
"skipped","Sun Mar 26 16:36:36 GMT 2023","Sun Mar 26 16:36:36 GMT 2023","0","","tests.DZ_other.OpenHabr","","tests.DZ_other.OpenHabr","photoSearchTest","photoSearchTest()",""
"passed","Sun Mar 26 16:34:17 GMT 2023","Sun Mar 26 16:34:17 GMT 2023","123","","tests.DZ_10.JsonEventTest","","tests.DZ_10.JsonEventTest","testJsonParsing","testJsonParsing()",""
"passed","Sun Mar 26 16:34:50 GMT 2023","Sun Mar 26 16:35:16 GMT 2023","25622","","tests.DZ_12.RegistrationPageTest","","tests.DZ_12.RegistrationPageTest","registrationFormTest","Проверка регистрации нового студента",""
"passed","Sun Mar 26 16:35:49 GMT 2023","Sun Mar 26 16:35:57 GMT 2023","8006","","tests.DZ_other.OpenGitHubPagesTest","","tests.DZ_other.OpenGitHubPagesTest","openGitHubPagesTest2","Открытие на гитхабе страниц {0} должен отображаться текст {0} [1] SoftAssertions",""
