"Epic","Feature","Story","FAILED","BROKEN","PASSED","SKIPPED","UNKNOWN"
"","Issue в репозитории","Проверки Issue","0","0","3","0","0"
"","","","0","0","15","4","0"
"","Форма регистарции","Авторизация на сайте","1","0","0","1","0"
"","Форма регистарции студентов","Регистрация на сайте нового студента по steps","0","0","1","0","0"
"","Форма регистарции студентов","Регистрация на сайте нового студента","0","0","1","0","0"
"","Форма регистарции","Регистрация на сайте","0","0","1","0","0"
