"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sat Apr 15 11:14:40 GMT 2023","Sat Apr 15 11:14:45 GMT 2023","5525","","tests.DZ_11.IssueTest","","tests.DZ_11.IssueTest","testIssueSearchLambda","Проверка Issue с помощью Lambda",""
"passed","Sat Apr 15 11:17:06 GMT 2023","Sat Apr 15 11:17:11 GMT 2023","5333","","tests.DZ_other.OpenSolutionsAndDragAndDropTest","","tests.DZ_other.OpenSolutionsAndDragAndDropTest","openSolutions","openSolutions()",""
"failed","Sat Apr 15 11:15:45 GMT 2023","Sat Apr 15 11:15:51 GMT 2023","5973","","tests.DZ_other.LoginTest","","tests.DZ_other.LoginTest","successfulLoginWithCommentsTest","Успешная авторизация с комментариями",""
"passed","Sat Apr 15 11:14:21 GMT 2023","Sat Apr 15 11:14:21 GMT 2023","23","","tests.DZ_10.FileParsingTest","","tests.DZ_10.FileParsingTest","zipAllTest","zipAllTest()",""
"passed","Sat Apr 15 11:14:51 GMT 2023","Sat Apr 15 11:15:17 GMT 2023","25888","","tests.DZ_12.RegistrationPageTest","","tests.DZ_12.RegistrationPageTest","registrationFormTest","Проверка регистрации нового студента",""
"passed","Sat Apr 15 11:15:51 GMT 2023","Sat Apr 15 11:15:59 GMT 2023","7753","","tests.DZ_other.OpenGitHubPagesTest","","tests.DZ_other.OpenGitHubPagesTest","openGitHubPagesTest2","Открытие на гитхабе страниц {0} должен отображаться текст {0} [1] SoftAssertions",""
"passed","Sat Apr 15 11:15:59 GMT 2023","Sat Apr 15 11:16:09 GMT 2023","9861","","tests.DZ_other.OpenGitHubPagesTest","","tests.DZ_other.OpenGitHubPagesTest","openGitHubPagesTest2","Открытие на гитхабе страниц {0} должен отображаться текст {0} [2] Snippets",""
"passed","Sat Apr 15 11:15:17 GMT 2023","Sat Apr 15 11:15:44 GMT 2023","26952","","tests.DZ_12.RegistrationPageTest","","tests.DZ_12.RegistrationPageTest","successfulLoginTest","Проверка регистрации нового студента",""
"passed","Sat Apr 15 11:14:24 GMT 2023","Sat Apr 15 11:14:24 GMT 2023","103","","tests.DZ_10.JsonEventTest","","tests.DZ_10.JsonEventTest","testJsonParsing","testJsonParsing()",""
"passed","Sat Apr 15 11:16:18 GMT 2023","Sat Apr 15 11:16:29 GMT 2023","11022","","tests.DZ_other.OpenGitHubPagesTest","","tests.DZ_other.OpenGitHubPagesTest","openGitHubPagesTest3","openGitHubPagesTest3(String) Открытие на гитхабе страниц Snippets должен отображаться текст Snippets",""
"skipped","Sat Apr 15 11:15:51 GMT 2023","Sat Apr 15 11:15:51 GMT 2023","0","","tests.DZ_other.LoginTest","","tests.DZ_other.LoginTest","successfulLoginTest","Успешная авторизация",""
"passed","Sat Apr 15 11:14:21 GMT 2023","Sat Apr 15 11:14:23 GMT 2023","2355","","tests.DZ_10.FileParsingTest","","tests.DZ_10.FileParsingTest","zipPdfTest","zipPdfTest()",""
"passed","Sat Apr 15 11:16:09 GMT 2023","Sat Apr 15 11:16:18 GMT 2023","9264","","tests.DZ_other.OpenGitHubPagesTest","","tests.DZ_other.OpenGitHubPagesTest","openGitHubPagesTest3","openGitHubPagesTest3(String) Открытие на гитхабе страниц SoftAssertions должен отображаться текст SoftAssertions",""
"passed","Sat Apr 15 11:14:24 GMT 2023","Sat Apr 15 11:14:40 GMT 2023","15961","","tests.DZ_11.IssueTest","","tests.DZ_11.IssueTest","testIssueSearchSelenide","Проверка Issue с помощью Selenide",""
"skipped","Sat Apr 15 11:16:51 GMT 2023","Sat Apr 15 11:16:51 GMT 2023","0","","tests.DZ_other.OpenHabr","","tests.DZ_other.OpenHabr","photoSearchTest","photoSearchTest()",""
"passed","Sat Apr 15 11:14:20 GMT 2023","Sat Apr 15 11:14:21 GMT 2023","466","","tests.DZ_10.FileParsingTest","","tests.DZ_10.FileParsingTest","zipXlsTest","zipXlsTest()",""
"skipped","Sat Apr 15 11:16:51 GMT 2023","Sat Apr 15 11:16:51 GMT 2023","0","","tests.DZ_other.OpenHabr","","tests.DZ_other.OpenHabr","firstSearchResultsShouldContainExpectedText","firstSearchResultsShouldContainExpectedText(String, String)",""
"passed","Sat Apr 15 11:14:23 GMT 2023","Sat Apr 15 11:14:23 GMT 2023","3","","tests.DZ_10.FileParsingTest","","tests.DZ_10.FileParsingTest","zipCsvTest","zipCsvTest()",""
"passed","Sat Apr 15 11:16:51 GMT 2023","Sat Apr 15 11:17:04 GMT 2023","13745","","tests.DZ_other.OpenSelenideSoftAssertionsJunitTest","","tests.DZ_other.OpenSelenideSoftAssertionsJunitTest","openSelenideSoftAssertionsJunitTest","openSelenideSoftAssertionsJunitTest()",""
"passed","Sat Apr 15 11:17:11 GMT 2023","Sat Apr 15 11:17:16 GMT 2023","4994","","tests.DZ_other.OpenSolutionsAndDragAndDropTest","","tests.DZ_other.OpenSolutionsAndDragAndDropTest","dragAndDropTestNoActions","dragAndDropTestNoActions()",""
"passed","Sat Apr 15 11:17:17 GMT 2023","Sat Apr 15 11:17:39 GMT 2023","22319","","tests.DZ_other.RegistrationPageObjectTest","","tests.DZ_other.RegistrationPageObjectTest","successfulLoginTest","Регистрация",""
"passed","Sat Apr 15 11:16:38 GMT 2023","Sat Apr 15 11:16:49 GMT 2023","11306","","tests.DZ_other.OpenGitHubPagesTest","","tests.DZ_other.OpenGitHubPagesTest","openGitHubPagesTest","openGitHubPagesTest(String, String) Открытие на гитхабе страниц Snippets должен отображаться текст Snippets",""
"passed","Sat Apr 15 11:15:45 GMT 2023","Sat Apr 15 11:15:45 GMT 2023","1","","tests.DZ_other.LoginTest","","tests.DZ_other.LoginTest","exitTest","exitTest()",""
"passed","Sat Apr 15 11:16:29 GMT 2023","Sat Apr 15 11:16:38 GMT 2023","8794","","tests.DZ_other.OpenGitHubPagesTest","","tests.DZ_other.OpenGitHubPagesTest","openGitHubPagesTest","openGitHubPagesTest(String, String) Открытие на гитхабе страниц SoftAssertions должен отображаться текст SoftAssertions",""
"skipped","Sat Apr 15 11:16:51 GMT 2023","Sat Apr 15 11:16:51 GMT 2023","0","","tests.DZ_other.OpenHabr","","tests.DZ_other.OpenHabr","searchResultsShouldBeGreaterThan10","searchResultsShouldBeGreaterThan10(String)",""
"skipped","Sat Apr 15 11:17:06 GMT 2023","Sat Apr 15 11:17:06 GMT 2023","0","","tests.DZ_other.OpenSolutionsAndDragAndDropTest","","tests.DZ_other.OpenSolutionsAndDragAndDropTest","dragAndDropTestActions","Не работает медот Action.Selenide",""
"passed","Sat Apr 15 11:14:45 GMT 2023","Sat Apr 15 11:14:50 GMT 2023","4858","","tests.DZ_11.IssueTest","","tests.DZ_11.IssueTest","testIssueSearchSteps","Проверка Issue с помощью Steps",""
